concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,remainingTime,prediction
57,9,20,57,58,206,23,20,10,8,8,8,57,1,20,57,58,206,23,20,10,8,8,8,57,9,20,57,58,206,23,20,10,7,8,8,57,1,20,57,58,206,23,20,10,7,8,8,4745040.0,4807850.74836
43,9,55,43,13,209,5,55,6,8,8,8,43,1,55,43,13,209,5,55,6,8,8,8,35,9,78,35,36,209,5,78,10,8,8,8,35,1,78,35,36,209,5,78,10,8,8,8,7376760.0,7388884.13548
0,9,41,0,3,149,150,41,10,8,8,8,0,1,41,0,3,149,150,41,10,8,8,8,0,9,46,0,3,149,150,46,10,49,8,8,0,1,46,0,3,149,150,46,10,49,8,8,7256760.0,7249240.70809
35,9,2,35,36,125,5,2,10,8,8,8,35,9,2,35,36,125,5,2,10,8,8,8,35,1,2,35,36,125,5,2,10,8,8,8,35,1,2,35,36,125,5,2,10,8,8,8,6660000.0,6657013.04783
0,9,41,0,3,126,5,41,10,8,8,8,0,1,41,0,3,126,5,41,10,8,8,8,35,9,78,35,36,126,5,78,10,7,8,8,35,1,78,35,36,126,5,78,10,7,8,8,4820880.0,4808487.07241
35,9,78,35,36,125,5,78,10,7,8,8,35,9,78,35,36,125,5,78,6,86,8,8,35,1,78,35,36,125,5,78,10,7,8,8,35,1,78,35,36,125,5,78,6,86,8,8,4638360.0,4640567.31341
19,9,25,19,21,22,23,25,6,26,8,8,19,1,25,19,21,22,23,25,6,26,8,8,19,9,20,19,21,22,23,20,6,24,8,8,19,1,20,19,21,22,23,20,6,24,8,8,2520360.0,2592744.73556
0,9,2,0,3,47,48,2,10,8,8,8,0,9,41,0,3,47,48,41,10,49,8,8,0,1,2,0,3,47,48,2,10,8,8,8,0,1,41,0,3,47,48,41,10,49,8,8,1732020.0,1730482.94067
57,9,46,57,58,56,23,46,10,7,8,8,57,1,46,57,58,56,23,46,10,7,8,8,57,9,20,57,58,56,23,20,10,59,8,8,43,9,55,43,13,56,23,55,6,8,8,8,2507280.0,2299715.29202
0,9,2,0,3,68,23,2,10,8,8,8,0,1,2,0,3,68,23,2,10,8,8,8,0,9,20,0,3,68,23,20,6,47,8,8,0,1,20,0,3,68,23,20,6,47,8,8,1708260.0,1961863.46427
81,9,54,81,18,82,15,54,10,8,8,8,81,1,54,81,18,82,15,54,10,8,8,8,81,9,51,81,18,82,15,51,10,7,8,8,81,1,51,81,18,82,15,51,10,7,8,8,1867860.0,1950780.34834
35,9,20,35,36,86,87,20,10,7,8,8,35,1,20,35,36,86,87,20,10,7,8,8,35,9,20,35,36,86,87,20,6,24,8,8,11,9,85,11,13,86,87,85,6,86,8,8,1947780.0,1802412.48661
35,9,78,35,36,86,87,78,10,7,8,8,35,1,78,35,36,86,87,78,10,7,8,8,35,9,78,35,36,86,87,78,6,24,8,8,35,1,78,35,36,86,87,78,6,24,8,8,2012460.0,1888734.7323
98,9,25,98,21,99,100,25,10,49,8,8,98,1,25,98,21,99,100,25,10,49,8,8,98,9,31,98,21,99,100,31,6,27,8,8,98,1,31,98,21,99,100,31,6,27,8,8,1970820.0,1629920.37058
109,9,108,109,110,107,103,108,6,8,8,8,109,1,108,109,110,107,103,108,6,8,8,8,104,9,105,104,106,107,103,105,6,7,8,8,104,1,105,104,106,107,103,105,6,7,8,8,3455580.0,3204133.83472
98,9,25,98,123,50,73,25,10,8,8,8,98,1,25,98,123,50,73,25,10,8,8,8,98,9,25,98,123,50,73,25,10,8,8,8,98,1,25,98,123,50,73,25,10,8,8,8,2740620.0,2709720.09623
140,9,139,140,71,125,5,139,6,8,8,8,140,1,139,140,71,125,5,139,6,8,8,8,95,9,55,95,13,125,5,55,6,4,8,8,95,1,55,95,13,125,5,55,6,4,8,8,3534000.0,3744496.42481
43,9,12,43,13,145,23,12,6,8,8,8,43,1,12,43,13,145,23,12,6,8,8,8,143,9,70,143,144,145,23,70,6,8,8,8,143,1,70,143,144,145,23,70,6,8,8,8,1900140.0,1929663.89976
133,9,148,133,134,147,5,148,6,8,8,8,133,1,148,133,134,147,5,148,6,8,8,8,115,9,129,115,116,147,5,129,10,8,8,8,115,1,129,115,116,147,5,129,10,8,8,8,4094760.0,4242357.24767
75,9,76,75,75,153,154,76,6,26,8,8,75,1,76,75,75,153,154,76,6,26,8,8,95,9,96,95,13,153,154,96,6,26,8,8,95,1,96,95,13,153,154,96,6,26,8,8,3007500.0,2798611.71595
52,9,51,52,53,79,155,51,10,8,8,8,52,1,51,52,53,79,155,51,10,8,8,8,52,9,51,52,53,79,155,51,10,8,8,8,43,9,44,43,13,79,155,44,10,8,8,8,2277600.0,2228427.70182
0,9,41,0,3,159,160,41,10,7,8,8,0,1,41,0,3,159,160,41,10,7,8,8,43,9,12,43,13,159,160,12,6,8,8,8,0,9,41,0,3,159,160,41,6,142,8,8,3235980.0,3552035.16093
57,9,78,57,58,166,167,78,10,8,8,8,57,9,20,57,58,166,167,20,10,7,8,8,57,1,78,57,58,166,167,78,10,8,8,8,57,1,20,57,58,166,167,20,10,7,8,8,1792800.0,1785270.38625
52,9,54,52,53,162,5,54,10,8,8,8,52,1,54,52,53,162,5,54,10,8,8,8,52,9,16,52,53,162,5,16,10,8,8,8,52,1,16,52,53,162,5,16,10,8,8,8,3664500.0,3422592.6575
0,9,41,0,3,131,160,41,10,8,8,8,0,1,41,0,3,131,160,41,10,8,8,8,0,9,20,0,3,131,160,20,6,169,8,8,0,1,20,0,3,131,160,20,6,169,8,8,3436440.0,3271835.91176
19,9,31,19,21,181,23,31,10,7,8,8,43,9,44,43,13,181,23,44,10,8,8,8,19,1,31,19,21,181,23,31,10,7,8,8,19,9,31,19,21,181,23,31,10,8,8,8,2111940.0,2088120.04888
184,9,78,184,36,162,87,78,10,8,8,8,184,1,78,184,36,162,87,78,10,8,8,8,184,9,41,184,36,162,87,41,6,162,8,8,184,1,41,184,36,162,87,41,6,162,8,8,3151620.0,2796946.36722
43,9,55,43,13,162,189,55,10,8,8,8,43,1,55,43,13,162,189,55,10,8,8,8,43,9,55,43,13,162,189,55,10,8,8,8,52,9,51,52,53,162,189,51,10,8,8,8,3181920.0,2812876.89185
35,9,2,35,36,162,87,2,10,7,8,8,35,1,2,35,36,162,87,2,10,7,8,8,35,9,2,35,36,162,87,2,6,86,8,8,35,1,2,35,36,162,87,2,6,86,8,8,3617820.0,3199901.34724
35,9,78,35,36,162,87,78,10,84,8,8,35,1,78,35,36,162,87,78,10,84,8,8,35,9,78,35,36,162,87,78,6,173,8,8,35,1,78,35,36,162,87,78,6,173,8,8,3520140.0,3278479.79472
35,9,78,35,36,83,5,78,10,8,8,8,35,1,78,35,36,83,5,78,10,8,8,8,35,9,2,35,36,83,5,2,10,7,8,8,35,1,2,35,36,83,5,2,10,7,8,8,3895620.0,2931279.70996
0,9,41,0,3,162,87,41,10,8,8,8,0,1,41,0,3,162,87,41,10,8,8,8,0,9,46,0,3,162,87,46,10,7,8,8,0,1,46,0,3,162,87,46,10,7,8,8,3637440.0,2846637.39035
19,9,31,19,21,99,210,31,10,7,8,8,19,1,31,19,21,99,210,31,10,7,8,8,19,9,31,19,21,99,210,31,10,8,8,8,43,9,12,43,13,99,210,12,6,8,8,8,1865820.0,1986388.0078
19,9,31,19,21,86,23,31,10,8,8,8,19,1,31,19,21,86,23,31,10,8,8,8,19,9,31,19,21,86,23,31,10,211,8,8,43,9,44,43,13,86,23,44,6,8,8,8,1717860.0,1936463.45282
17,9,16,17,18,86,15,16,10,7,8,8,17,1,16,17,18,86,15,16,10,7,8,8,17,9,16,17,18,86,15,16,6,59,8,8,17,9,51,17,18,86,15,51,6,142,8,8,1907760.0,1915331.72762
57,9,46,57,58,136,23,46,10,8,8,8,57,1,46,57,58,136,23,46,10,8,8,8,57,9,46,57,58,136,23,46,10,59,8,8,57,1,46,57,58,136,23,46,10,59,8,8,3521700.0,3226371.70445
0,9,2,0,3,181,5,2,10,8,8,8,0,1,2,0,3,181,5,2,10,8,8,8,0,9,2,0,3,181,5,2,10,7,8,8,0,1,2,0,3,181,5,2,10,7,8,8,3198480.0,3264045.91298
57,9,46,57,58,181,23,46,10,7,8,8,57,1,46,57,58,181,23,46,10,7,8,8,43,9,12,43,13,181,23,12,6,8,8,8,57,9,46,57,58,181,23,46,10,7,8,8,1975920.0,2108179.58204
52,9,51,52,53,67,28,51,10,7,8,8,52,1,51,52,53,67,28,51,10,7,8,8,52,9,16,52,53,67,28,16,10,7,8,8,52,1,16,52,53,67,28,16,10,7,8,8,2005560.0,2624301.72324
35,9,78,35,36,39,5,78,10,8,8,8,35,1,78,35,36,39,5,78,10,8,8,8,35,9,46,35,36,39,5,46,10,8,8,8,35,1,46,35,36,39,5,46,10,8,8,8,2432040.0,2198558.24203
212,9,51,212,53,213,214,51,10,8,8,8,212,1,51,212,53,213,214,51,10,8,8,8,212,9,54,212,53,213,214,54,10,7,8,8,212,1,54,212,53,213,214,54,10,7,8,8,2151900.0,2463211.77395
0,9,41,0,3,181,5,41,10,8,8,8,0,1,41,0,3,181,5,41,10,8,8,8,0,9,2,0,3,181,5,2,10,49,8,8,0,1,2,0,3,181,5,2,10,49,8,8,3160020.0,3678340.51647
19,9,31,19,21,218,40,31,10,7,8,8,19,9,31,19,21,218,40,31,10,8,8,8,19,1,31,19,21,218,40,31,10,7,8,8,19,1,31,19,21,218,40,31,10,8,8,8,1795140.0,1828109.59002
17,9,16,17,18,79,155,16,10,7,8,8,17,9,16,17,18,79,155,16,34,8,8,8,17,1,16,17,18,79,155,16,34,8,8,8,17,1,16,17,18,79,155,16,10,7,8,8,3623040.0,3643488.8664
0,9,20,0,3,220,5,20,10,8,8,8,0,1,20,0,3,220,5,20,10,8,8,8,0,9,20,0,3,220,5,20,10,8,8,8,0,1,20,0,3,220,5,20,10,8,8,8,4246320.0,3505619.07892
98,9,25,98,21,4,100,25,10,7,8,8,98,1,25,98,21,4,100,25,10,7,8,8,98,9,25,98,21,4,100,25,6,173,8,8,98,1,25,98,21,4,100,25,6,173,8,8,1800000.0,1823388.76129
17,9,16,17,18,37,229,16,10,8,8,8,17,9,16,17,18,37,229,16,34,8,8,8,17,1,16,17,18,37,229,16,34,8,8,8,17,1,16,17,18,37,229,16,10,8,8,8,3245640.0,3225142.91109
17,9,54,17,18,79,163,54,10,8,8,8,17,1,54,17,18,79,163,54,10,8,8,8,17,9,54,17,18,79,163,54,10,8,8,8,17,1,54,17,18,79,163,54,10,8,8,8,1787760.0,2176691.48969
35,9,78,35,36,231,5,78,10,49,8,8,35,1,78,35,36,231,5,78,10,49,8,8,35,9,78,35,36,231,5,78,6,86,8,8,35,1,78,35,36,231,5,78,6,86,8,8,2552520.0,3418790.90499
35,9,20,35,36,22,5,20,10,7,8,8,35,1,20,35,36,22,5,20,10,7,8,8,35,9,20,35,36,22,5,20,6,146,8,8,35,1,20,35,36,22,5,20,6,146,8,8,2052480.0,2390796.06512
0,9,41,0,3,233,234,41,10,8,8,8,0,1,41,0,3,233,234,41,10,8,8,8,0,9,2,0,3,233,234,2,10,7,8,8,0,1,2,0,3,233,234,2,10,7,8,8,3155280.0,3715554.67156
81,9,54,81,18,67,15,54,10,8,8,8,81,1,54,81,18,67,15,54,10,8,8,8,81,9,16,81,18,67,15,16,10,7,8,8,81,1,16,81,18,67,15,16,10,7,8,8,1841160.0,2134585.34715
57,9,46,57,58,84,23,46,10,8,8,8,57,1,46,57,58,84,23,46,10,8,8,8,57,9,46,57,58,84,23,46,10,7,8,8,57,1,46,57,58,84,23,46,10,7,8,8,1905600.0,2501858.71241
